complaint,department
"Sir please look into this, hazardous biomedical waste including syringes and bandages dumped in open plot opposite SBI ATM, severe biohazard threat to neighborhood children. Please send team as soon as possible.",Sanitation
"Road is fully damaged and full of big potholes near Green Glen Layout main gate, please take action immediately.",Roads
"Sir, traffic signal is not working big traffic jam at junction behind Co-operative Bank. Nobody is responding.",Traffic
Deep trench excavated for laying cables left unpaved along 100 Feet Intermediate Road.,Roads
"Please help, stagnant rainwater collected in discarded scrap tires outside repair shop behind Taluk Office, proven high-density breeding site for Aedes dengue mosquitoes. Please send team as soon as possible.",Public Health
"Due to severe corrugation and uneven road surface between Adarsh Layout and University Cross, it is buses and autos tilting dangerously.",Roads
"Sir, huge pit on road no warning board kept very dangerous at night on Temple Street, Ward 141. Nobody is responding.",Roads
It is brought to municipal notice that there is a unhygienic road-side eatery washing plates in dirty drain water at the entry of Defence Enclave. This is food poisoning outbreak reported among local college students. Kindly take remedial action.,Public Health
trnsfrmer spakring big blast noiz plz snd elctrician near electricity sub-station Station Road,Electricity
"Sir, open drain in front of our gate school children can fall inside at the entry of Netaji Nagar. Nobody is responding.",Drainage
"Due to community notice board glass shattered and public civic circulars torn near Sri Krishna Layout main gate, it is citizens unable to view official municipal welfare announcements.",Municipal Services
Urgent! Major emergency: overhead high tension power cable snapped and dangling near ground near fire station! It is extreme electrocution danger to school students. Immediate action requested.,Electricity
Dead stray cat decaying under roadside culvert at University Cross.,Sanitation
"Sir, water supply timing is very irregular please give water on fixed schedule near public park gate. Nobody is responding.",Water
"Sir, open drain in front of our gate school children can fall inside near APMC market yard. Nobody is responding.",Drainage
"Park walking track is broken senior citizens falling down daily on Cross Road 4, Ward 73 since yesterday.",Municipal Services
"Opposite flyover landing, traffic signal is not working big traffic jam at junction. Kindly resolve.",Traffic
Critical danger: rusted bottom of street electric pole ready to snap at base at Nehru Roundabout! It is pole supported only by tension of overhead wire cables. Immediate action requested.,Electricity
Power cut since morning no current in our whole colony behind State Transport Depot since two weeks.,Electricity
Civic issue reported: there is a damaged distribution pipeline joint near water reservoir at Station T-Junction. This is continuous gush of potable water flooding street. Kindly take remedial action.,Water
"Due to flickering streetlights causing seizure risk and strobing effect on highway near Balaji Layout main gate, it is drivers experiencing disorientation and headlight glare.",Electricity
Water pressure is very low not even filling one bucket in 1 hour along Market Road since yesterday.,Water
"Kindly fix this problem, spilled garbage not cleared after mechanical dumper truck emptied bin in Siddhartha Nagar, half the waste left scattered on the asphalt road. Please send team as soon as possible.",Sanitation
urgent wter presure to low tps runing dry pleas help Vinayaka Nagar near auto rickshaw stand,Water
"Public park gate is broken drunkards entering at night and breaking benches opposite post office, please take action immediately.",Municipal Services
Sweeper is sweeping dust into open drain instead of lifting it near Ashok Vihar Phase 2 main gate since yesterday.,Sanitation
"Traffic diversion sign boards left on roadway weeks after road work ended outside State Transport Depot, creating unnecessary bottleneck and driver confusion.",Traffic
"Sir, traffic police needed at circle during school hours heavy jam near toll plaza. Nobody is responding.",Traffic
"In green glen layout, big dry tree branch can fall on our house roof please cut it urgently. Kindly resolve.",Municipal Services
"Due to overflowing garbage pile blocking access to government school main gate near mosque corner, it is students forced to step over rotten food waste to enter.",Sanitation
"Footpath pavers broken, dislodged and jutting out right in front of Civil Court, pedestrians and senior citizens tripping constantly.",Roads
"Huge pit on road no warning board kept very dangerous at night at Ambedkar Chowk, please take action immediately.",Roads
"Big dry tree branch can fall on our house roof please cut it urgently on College Road, please take action immediately.",Municipal Services
urgent swpr not cmng to cleen stret wast accumulatd Santosh Nagar near fire station,Sanitation
"Attention Municipal Commissioner: illegal animal slaughtering taking place in open street corner near Ramakrishna Puram main gate! It is blood, offal, and animal parts attracting packs of scavenger dogs. Immediate action requested.",Public Health
"In Defence Enclave Ward 101, public library roof is leaking rainwater books getting ruined please repair since past 10 days. Very difficult situation.",Municipal Services
"Please help, slippery oil and gravel mix spread across asphalt surface right in front of Govt Primary School, frequent skidding accidents reported. Please send team as soon as possible.",Roads
Vehicles parked illegally on both sides of road blocking bus movement since past 10 days near fire station. High danger.,Traffic
stagnnt wter breedng mosquitos chkungunya risk near grain mandi Temple Street,Public Health
"Hello civic team, public market dustbins damaged, rusted, with bottom completely missing at Old Post Office Junction, garbage dumped inside falls straight onto road surface. Please send team as soon as possible.",Sanitation
"Rain water has nowhere to go road becomes a river every small rain near post office, please take action immediately.",Drainage
Massive swarms of mosquitoes breeding in stagnant open sewage ponds at Ward 6.,Public Health
Sweeper is sweeping dust into open drain instead of lifting it in Santosh Nagar after last rain.,Sanitation
Citizens facing acute problem because there is a contaminated water from burst sewage line seeping into shallow drinking wells right in front of District Veterinary Hospital. This is gastroenteritis outbreak affecting over twenty families. Kindly take remedial action.,Public Health
"In Vinayaka Nagar Ward 77, fish market waste thrown on road intolerable rotten stench since past 10 days. Very difficult situation.",Sanitation
"Sir, shock is coming from street light pole when touching it very scary along Link Road. Nobody is responding.",Electricity
"In Vinayaka Nagar Ward 54, electric wire is hanging very low anyone can get current shock since yesterday. Very difficult situation.",Electricity
"Open electric dp box on road children are playing nearby please lock it at the entry of Defence Enclave, please take action immediately.",Electricity
"Sir, terrible smell from open drain and stagnant water causing vomiting on Church Road, Ward 59. Nobody is responding.",Public Health
"Sir, sewage line is choked toilets are overflowing in ground floor flats at Old Post Office Junction. Nobody is responding.",Drainage
Urgent! Major emergency: missing height barrier at low railway bridge underpass between Bhavani Nagar and Ashok Pillar Crossing! It is tall container trucks regularly getting wedged under bridge. Immediate action requested.,Traffic
"Please help, gas and electric furnace at municipal crematorium out of order behind Urban Health Post, bereaved families forced to wait over eight hours with mortal remains. Please send team as soon as possible.",Municipal Services
"Near telecom colony main gate, people throwing garbage bags on vacant plot creating mini dumpyard. Kindly resolve.",Sanitation
Cemetery boundary wall fell down stray dogs entering graveyard from last 3 days outside Fire Brigade Station. High danger.,Municipal Services
trafic signl not workin huge jam at chawk in Santosh Nagar ward 116,Traffic
"Pothole depth is more than 1 foot any time major accident can happen on GIDC Road, Ward 192, please take action immediately.",Roads
"Open gym machines in garden are rusted and jammed not moving at all opposite metro pillar 142, please take action immediately.",Municipal Services
Anti-larval spray not done in our ward malaria spreading fast since yesterday outside Ward Office. High danger.,Public Health
Road sign is hidden behind tree branches motorists missing the turn from last 3 days behind ESI Hospital. High danger.,Traffic
"Sewer cleaning suction jetting machine needed for persistent pipeline blockage opposite industrial estate gate, manual rodding failed to clear compacted silt.",Drainage
"In Kuvempu Nagar Ward 133, dead animal lying on road please send sanitation team to remove since past 10 days. Very difficult situation.",Sanitation
"At ward 125, road has caved in middle of road heavy vehicles getting stuck. Kindly resolve.",Roads
childrn playgroud swing brokn shrap iron cuting kids in Green Glen Layout ward 39,Municipal Services
"Open drain in front of our gate school children can fall inside right in front of Kendriya Vidyalaya, please take action immediately.",Drainage
"Open electric dp box on road children are playing nearby please lock it at Ashok Pillar Crossing, please take action immediately.",Electricity
"Due to door-to-door waste collection vehicle has not visited the ward for two weeks opposite district library, it is residents forced to pile up household garbage on street corners.",Sanitation
"Sir, water pressure is very low not even filling one bucket in 1 hour in Indira Gandhi Colony. Nobody is responding.",Water
"Drain is overflowing sewage water coming into our house compound between Gandhi Gram and Collectorate Circle, please take action immediately.",Drainage
"Sir, road is fully damaged and full of big potholes near bazaar circle. Nobody is responding.",Roads
"Plz repair this road immediately bike riders falling daily close to railway station approach, please take action immediately.",Roads
"In Vikas Enclave Ward 154, rain water has nowhere to go road becomes a river every small rain after last rain. Very difficult situation.",Drainage
plasic west burnig smuk entring insid house near milk booth Service Lane,Sanitation
drange is chokd sewag watr floding rad ward 56 since 2 days kindly fix,Drainage
"Dirty open drain next to school children getting sick frequently along 4th Cross, 2nd Main since two weeks.",Public Health
"Due to stagnant green slime water pooled in empty construction basement outside Taluk Office, it is acting as massive breeding nursery for vector-borne disease mosquitoes.",Public Health
"Due to open electrical junction feeder pillar with exposed 440V live busbars near APMC market yard, it is children playing nearby at grave risk of fatal shock.",Electricity
Entire stretch is totally unmotorable please do tarring work close to railway station approach after last rain.,Roads
"Between netaji nagar and collectorate circle, gutters are fully blocked with mud road is flooded with knee deep water. Kindly resolve.",Drainage
urgent stagnnt wter breedng mosquitos chkungunya risk Bhavani Nagar near bazaar circle,Public Health
Public auditorium sound acoustic panels and ceiling tiles falling down near rotary circle.,Municipal Services
Drinking water pressure completely collapsed since valve repair work right in front of Sub-Registrar Office.,Water
"Near overhead water tank, drinking water is coming dirty and smelling like drainage. Kindly resolve.",Water
"Tap water is full yellow color cannot drink or use for cooking close to bus terminus, please take action immediately.",Water
"Kindly fix this problem, deep ruts formed by overloaded trucks on hot asphalt on GIDC Road, making bike handling extremely unstable. Please send team as soon as possible.",Roads
Extremely hazardous condition: contaminated water from burst sewage line seeping into shallow drinking wells near flyover landing! It is gastroenteritis outbreak affecting over twenty families. Immediate action requested.,Public Health
"In Pragati Colony Ward 142, electric pole is bent dangerously can fall any time please remove after last rain. Very difficult situation.",Electricity
Drain silt was cleaned and left on road now all gone back in drain outside Kendriya Vidyalaya since past 10 days.,Drainage
Water pressure is very low not even filling one bucket in 1 hour since past 10 days at University Cross. High danger.,Water
"Drinking water cooler installed in municipal office complex dead and dry behind ESI Hospital, visitors arriving for property tax work left without water.",Municipal Services
"Sir please look into this, drinking water pressure completely collapsed since valve repair work on Bypass Road, unable to fill basic domestic buckets. Please send team as soon as possible.",Water
Garbage truck leaking dirty black liquid on entire road smelling awful opposite industrial estate gate since yesterday.,Sanitation
"No dustbin provided in our market area people throwing waste on street opposite auto rickshaw stand, please take action immediately.",Sanitation
Absence of speed limit signs and rumble strips near school zone crossing along GIDC Road.,Traffic
Voltage is very low fan is not running fridge making weird sound after last rain near Adarsh Layout main gate. High danger.,Electricity
"Sweeper is sweeping dust into open drain instead of lifting it on Bypass Road, Ward 45, please take action immediately.",Sanitation
Signal timer is too short only 10 seconds green for huge traffic since yesterday near toll plaza. High danger.,Traffic
Rain water has nowhere to go road becomes a river every small rain near metro pillar 142 since past 10 days.,Drainage
"At the entry of kuvempu nagar, dirty open drain next to school children getting sick frequently. Kindly resolve.",Public Health
Shock is coming from street light pole when touching it very scary since past 10 days at Shivaji Circle. High danger.,Electricity
"Hello civic team, zero municipal drinking water supply for the past five consecutive days outside Kendriya Vidyalaya, residents forced to purchase expensive private tankers. Please send team as soon as possible.",Water
"Cemetery boundary wall fell down stray dogs entering graveyard on Church Road, please take action immediately.",Municipal Services
"Due to electric shock felt when touching municipal streetlight iron pole between Kasturba Extension and Highway Junction, it is earthing defect current leaking into metallic body.",Electricity
ded animal dog lying on roadd please remuv it ward 27 since 2 days kindly fix,Sanitation
"Sir, municipal ward office staff not available during public complaint hours near Rajaji Sector 3 main gate. Nobody is responding.",Municipal Services
"In Santosh Nagar Ward 79, road has caved in middle of road heavy vehicles getting stuck from last 3 days. Very difficult situation.",Roads
"Due to faded stop line causing vehicles to stop directly inside pedestrian crossing near rotary circle, it is walkers forced to weave between idling cars and motorcycles.",Traffic
Road sign is hidden behind tree branches motorists missing the turn near APMC market yard since yesterday.,Traffic
Big dry tree branch can fall on our house roof please cut it urgently on Inner Circular Road since morning.,Municipal Services
"Broken manhole slab car wheel got stuck please replace cover for past one week on Ring Road, Ward 171. High danger.",Drainage
"No action taken so far, worms and insect larvae visible in municipal tap water supply at Ward 28, gross hygiene failure in public drinking supply. Please send team as soon as possible.",Water
"Complaining for the third time, drinking water cooler installed in municipal office complex dead and dry along Market Road, visitors arriving for property tax work left without water. Please send team as soon as possible.",Municipal Services
Kindly note that there is a municipal swimming pool filtration plant broken with green algae bloom at Ward 7. This is water turned toxic and facility shut down for months. Kindly take remedial action.,Municipal Services
"Right in front of kendriya vidyalaya, garbage truck leaking dirty black liquid on entire road smelling awful. Kindly resolve.",Sanitation
"Sir, street light is not working in our lane full dark at night behind Sub-Registrar Office. Nobody is responding.",Electricity
drange is chokd sewag watr floding rad near rotary circle Temple Street,Drainage
"Along cross road 4, crematorium furnace not working people waiting with dead body in grief. Kindly resolve.",Municipal Services
Civic issue reported: there is a streetlight timer broken causing lights to stay ON in afternoon and OFF at night at Collectorate Circle. This is energy wasted by day while road is dark at night. Kindly take remedial action.,Electricity
Urgent! Major emergency: drainage pipe cracked and leaking foul sewage water into building foundations outside Taluk Office! It is stink and dampness seeping through basement walls. Immediate action requested.,Drainage
"Please help, worms and insect larvae visible in municipal tap water supply near Adarsh Layout main gate, gross hygiene failure in public drinking supply. Please send team as soon as possible.",Water
"Respected sir, massive pothole filled with stagnant rainwater opposite bridge underpass, causing two-wheelers to slip and fall. Please send team as soon as possible.",Roads
Serious public grievance: there is a broken streetlight glass luminaire hanging precariously by thin wire right in front of Urban Health Post. This is heavy fixture ready to drop on passing traffic. Kindly take remedial action.,Electricity
Stray dogs are biting people on street please catch them urgently after last rain near Kasturba Extension main gate. High danger.,Public Health
Garbage is not being lifted since one week huge smell coming along Inner Circular Road since two weeks.,Sanitation
"Broken manhole slab car wheel got stuck please replace cover at the entry of Defence Enclave, please take action immediately.",Drainage
plz help dividr cut made illeagli bikes crosing dngrously on NH Bypass Service Road,Traffic
Sanitation auto not coming to our street trash piled up in homes at Ward 173 from last 3 days.,Sanitation
"Near santosh nagar main gate, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
urgent crematrium furnas out of ordr pleas fix imedatly Pragati Colony near electricity sub-station,Municipal Services
"In Balaji Layout Ward 54, big dry tree branch can fall on our house roof please cut it urgently since yesterday. Very difficult situation.",Municipal Services
"Sir, no zebra crossing for pedestrians impossible to cross this wide road near church square. Nobody is responding.",Traffic
"Drainage smell is terrible in our lane please clean the gutter on 4th Cross, 2nd Main, please take action immediately.",Drainage
"At university cross, shock is coming from street light pole when touching it very scary. Kindly resolve.",Electricity
Street light is not working in our lane full dark at night since morning right in front of Fire Brigade Station. High danger.,Electricity
Traffic signal is not working big traffic jam at junction between Netaji Nagar and Clock Tower Square since yesterday.,Traffic
Attention Municipal Commissioner: massive open garbage dump accumulated on the roadside at Ward 108! It is stray dogs and cattle scattering rotting waste across the road. Immediate action requested.,Sanitation
wter presure to low tps runing dry pleas help in Mahalakshmi Layout ward 194,Water
Open electric dp box on road children are playing nearby please lock it in Shastri Nagar since yesterday.,Electricity
Sewage line is choked toilets are overflowing in ground floor flats near Vidya Nagar main gate since yesterday.,Drainage
Plz repair this road immediately bike riders falling daily every evening on Inner Circular Road. High danger.,Roads
"In Netaji Nagar Ward 1, worst road condition not even able to walk properly after last rain. Very difficult situation.",Roads
"Respected sir, dead cow lying near the highway bridge approach unattended at the entry of Tilak Road Extension, maggots infesting carcass and causing public disgust. Please send team as soon as possible.",Sanitation
Sweeper is sweeping dust into open drain instead of lifting it between Balaji Layout and Subhash Nagar Crossing since morning.,Sanitation
Signal timer is too short only 10 seconds green for huge traffic along NH Bypass Service Road since past 10 days.,Traffic
"In Ashok Vihar Phase 2 Ward 151, recently road was laid now fully broken and stones coming out since yesterday. Very difficult situation.",Roads
urgent electrik wir cut and hangin dngrously on stret Indira Gandhi Colony near overhead water tank,Electricity
"Immediate intervention needed! monsoon drain blocked causing rainwater to flood into ground floor homes close to town hall! It is furniture, groceries, and household goods submerged in sewage water. Immediate action requested.",Drainage
larg dri tre can fal on haus pleas trim branchs near petrol pump College Road,Municipal Services
Open drain in front of our gate school children can fall inside for past one week at the entry of Netaji Nagar. High danger.,Drainage
"Complaining for the third time, pedestrian push-button crossing signal out of order in Santosh Nagar, pedestrians waiting 20 minutes to cross busy six-lane avenue. Please send team as soon as possible.",Traffic
"Public park gate is broken drunkards entering at night and breaking benches along GIDC Road, please take action immediately.",Municipal Services
urgent swpr not cmng to cleen stret wast accumulatd Kuvempu Nagar near auto rickshaw stand,Sanitation
Drinking water line damaged during road work please repair immediately since yesterday outside City Library. High danger.,Water
"Sir, vehicles parked illegally on both sides of road blocking bus movement right in front of Civil Court. Nobody is responding.",Traffic
"Due to power company feeder switch tripped and sub-station staff not responding behind Sub-Registrar Office, it is unattended blackout entering second day.",Electricity
"In Teachers Colony Ward 158, rain water has nowhere to go road becomes a river every small rain for past one week. Very difficult situation.",Drainage
"Illegal dumping of commercial restaurant food waste and chicken offal on Station Approach Road, intolerable rotting stench making it impossible to breathe.",Sanitation
People throwing garbage bags on vacant plot creating mini dumpyard since two weeks between Balaji Layout and Gandhi Circle. High danger.,Sanitation
"Immediate intervention needed! open meat stall dumping entrails and bones on public sidewalk on Hospital Road, Ward 183! It is severe nuisance and stray canine pack aggression. Immediate action requested.",Sanitation
Street light is not working in our lane full dark at night between Kasturba Extension and Shivaji Circle since two weeks.,Electricity
"Fish market waste thrown on road intolerable rotten stench near flyover landing, please take action immediately.",Sanitation
It is brought to municipal notice that there is a municipal swimming pool filtration plant broken with green algae bloom near Siddhartha Nagar main gate. This is water turned toxic and facility shut down for months. Kindly take remedial action.,Municipal Services
"Opposite electricity sub-station, no dustbin provided in our market area people throwing waste on street. Kindly resolve.",Sanitation
Fuse repeatedly blowing out on distribution transformer every evening at the entry of Bhavani Nagar.,Electricity
Immediate intervention needed! missing reflective cat-eyes and lane divider markings on unlit bypass road behind State Transport Depot! It is drivers struggling to judge lane boundaries in fog and dark. Immediate action requested.,Traffic
"Sir, open gym machines in garden are rusted and jammed not moving at all on Church Road. Nobody is responding.",Municipal Services
Tap water is full yellow color cannot drink or use for cooking behind Maternity Clinic every evening.,Water
"In Bhavani Nagar Ward 34, cemetery boundary wall fell down stray dogs entering graveyard since yesterday. Very difficult situation.",Municipal Services
publc pak benchs brokn by vandls no sit for seniors in Vidya Nagar ward 163,Municipal Services
"In Rajaji Sector 3 Ward 60, rain water has nowhere to go road becomes a river every small rain from last 3 days. Very difficult situation.",Drainage
Sweeper is sweeping dust into open drain instead of lifting it from last 3 days on Church Road. High danger.,Sanitation
"Sir, park swings are broken iron slide has sharp cut children getting hurt on Market Road. Nobody is responding.",Municipal Services
"Dear authority, commercial delivery vans double parking along narrow market street on Church Road, Ward 48, single lane traffic bottleneck backing up for kilometers. Please send team as soon as possible.",Traffic
urgent trnsfrmer spakring big blast noiz plz snd elctrician Postal Layout near railway station approach,Electricity
Kindly note that there is a traffic signal lights completely dead at busy four-road junction behind Civil Court. This is vehicles crossing from all four sides creating chaotic gridlock. Kindly take remedial action.,Traffic
"On station approach road, ward 160, water tanker driver demanding extra money and not giving full water. Kindly resolve.",Water
Garbage truck leaking dirty black liquid on entire road smelling awful at Gandhi Circle for past one week.,Sanitation
sewer lin blokd toilts runing bckward kindly clen ward 159 since 2 days kindly fix,Drainage
"Sweeper is sweeping dust into open drain instead of lifting it in Siddhartha Nagar, please take action immediately.",Sanitation
Dead animal lying on road please send sanitation team to remove at the entry of Bhavani Nagar for past one week.,Sanitation
"Sir please look into this, gas and electric furnace at municipal crematorium out of order close to temple road, bereaved families forced to wait over eight hours with mortal remains. Please send team as soon as possible.",Municipal Services
"Municipal ward administrative office closed during designated public grievance hours opposite mosque corner, citizens standing in queue for hours without staff.",Municipal Services
"Fish market waste thrown on road intolerable rotten stench in Pragati Colony, please take action immediately.",Sanitation
"Kindly fix this problem, loose gravel scattered all over the newly laid asphalt at the entry of Santosh Nagar, two-wheelers skidding frequently on brakes. Please send team as soon as possible.",Roads
signl timr is stck on red plese repare fast near metro pillar 142 80 Feet Road,Traffic
"Due to drinking water contaminated with sewage smell and black particles close to fire station, it is several residents suffering from stomach infections.",Water
"Civic issue reported: there is a children playground swings, slides and see-saws broken with sharp rusted metal right in front of District Veterinary Hospital. This is children getting cut and injured during play in public park. Kindly take remedial action.",Municipal Services
Massive swarms of mosquitoes breeding in stagnant open sewage ponds outside Govt Girls Hostel.,Public Health
"Outside ration shop, main water pipe is broken drinking water running on road wastefully. Kindly resolve.",Water
Pothole depth is more than 1 foot any time major accident can happen since two weeks on Bypass Road. High danger.,Roads
urgent swpr not cmng to cleen stret wast accumulatd Ashok Vihar Phase 2 near central vegetable market,Sanitation
urgent larg dri tre can fal on haus pleas trim branchs Balaji Layout near auto rickshaw stand,Municipal Services
"In Vinayaka Nagar Ward 158, colony borewell motor spoiled please send mechanic urgently since morning. Very difficult situation.",Water
Requesting immediate action as there is a huge crater right in the middle of the road at Indira Circle. This is posing fatal risk to night motorists. Kindly take remedial action.,Roads
"Water supply pressure is drastically low near public park gate, water not reaching overhead tanks on first floor.",Water
"Respected sir, municipal tree trimming crew cut branches and left heavy wood debris on footpath at Collectorate Circle, blocking pedestrian path and forcing walkers onto busy road. Please send team as soon as possible.",Municipal Services
Phase missing in our house only half lights working please fix fuse behind Urban Health Post since two weeks.,Electricity
Attention Municipal Commissioner: overhead high tension power cable snapped and dangling near ground close to petrol pump! It is extreme electrocution danger to school students. Immediate action requested.,Electricity
"Public library roof is leaking rainwater books getting ruined please repair behind Civil Court, please take action immediately.",Municipal Services
Immediate intervention needed! deep trench excavated for laying cables left unpaved at the entry of Adarsh Layout! It is no barricade placed and vehicles falling inside. Immediate action requested.,Roads
"Garbage truck leaking dirty black liquid on entire road smelling awful since yesterday on Service Lane, Ward 120. High danger.",Sanitation
"Please help, unauthorized puncture on municipal drinking water main line between Vikas Enclave and Indira Circle, illegal water diversion causing acute shortage downstream. Please send team as soon as possible.",Water
"Sir please look into this, public drinking water tap leaking non-stop 24 hours a day along 100 Feet Intermediate Road, clean potable water flowing down into gutter. Please send team as soon as possible.",Water
urgent illegl parkng blockng entir stret buses stck Surya Nagar Ward 12 near slaughterhouse cross,Traffic
"On 4th cross, 2nd main, road is fully damaged and full of big potholes. Kindly resolve.",Roads
crematrium furnas out of ordr pleas fix imedatly ward 1 since 2 days kindly fix,Municipal Services
"Sir, drain is overflowing sewage water coming into our house compound close to slaughterhouse cross. Nobody is responding.",Drainage
"Sir, street light is not working in our lane full dark at night in Tilak Road Extension. Nobody is responding.",Electricity
"Near junction roundabout, signal timer is too short only 10 seconds green for huge traffic. Kindly resolve.",Traffic
Big dry tree branch can fall on our house roof please cut it urgently at Subhash Nagar Crossing since past 10 days.,Municipal Services
Traffic police needed at circle during school hours heavy jam opposite public park gate after last rain.,Traffic
Urgent! Major emergency: traffic blinker beacon at blind intersection not operating on Market Road! It is frequent T-bone vehicle collisions occurring at night. Immediate action requested.,Traffic
pipelin brok clean watr wasting on road fix fast ward 42 since 2 days kindly fix,Water
Kindly note that there is a damaged speed governor warning sign lying flat on road shoulder at Ward 75. This is lack of signage encouraging overspeeding near hospital gate. Kindly take remedial action.,Traffic
"Respected sir, urgent vector fogging and anti-larval chemical spraying needed in colony at Subhash Nagar Crossing, dengue fever spreading from house to house. Please send team as soon as possible.",Public Health
Power cut since morning no current in our whole colony near post office since two weeks.,Electricity
Serious public grievance: there is a open meat stall dumping entrails and bones on public sidewalk opposite rotary circle. This is severe nuisance and stray canine pack aggression. Kindly take remedial action.,Sanitation
Disaster waiting to happen: traffic CCTV surveillance camera dangling by wire from signal pole between Gandhi Gram and Gandhi Circle! It is equipment knocked down by oversized container truck. Immediate action requested.,Traffic
"Recently road was laid now fully broken and stones coming out near crematorium ground, please take action immediately.",Roads
Park walking track is broken senior citizens falling down daily since yesterday outside Urban Health Post. High danger.,Municipal Services
drange is chokd sewag watr floding rad in Sri Krishna Layout ward 69,Drainage
"Please help, unauthorized pig and cattle rearing in residential layout creating filthy unhygienic conditions on Service Lane, tick infestation and intolerable dung odor spreading. Please send team as soon as possible.",Public Health
Kindly note that there is a dumping of industrial chemical sludge bags on vacant municipal land right in front of Kendriya Vidyalaya. This is acrid chemical fumes causing throat irritation to residents. Kindly take remedial action.,Sanitation
"At ward 33, transformer giving big blast sound and sparks falling down. Kindly resolve.",Electricity
"In Balaji Layout Ward 161, public toilet is filthy and overflowing nobody cleaning it since weeks after last rain. Very difficult situation.",Public Health
"In Kasturba Extension Ward 71, voltage is very low fan is not running fridge making weird sound for past one week. Very difficult situation.",Electricity
"Due to septic sewer line connected illegally into open stormwater surface drain in Santosh Nagar, it is pure raw sewage flowing in open air through residential sector.",Drainage
publc pak benchs brokn by vandls no sit for seniors near civil hospital gate Temple Street,Municipal Services
"In Vidya Nagar Ward 85, road is fully damaged and full of big potholes from last 3 days. Very difficult situation.",Roads
Garbage truck leaking dirty black liquid on entire road smelling awful since past 10 days close to crematorium ground. High danger.,Sanitation
Urgent attention required: there is a road level difference between old and new asphalt patch at Ward 72. This is creating sharp 4-inch ridge across lane. Kindly take remedial action.,Roads
"Complaining for the third time, transformer oil leaking heavily onto the public pavement right in front of Govt Girls Hostel, transformer overheating and producing burning smell. Please send team as soon as possible.",Electricity
"Sir, broken manhole slab car wheel got stuck please replace cover at Subhash Nagar Crossing. Nobody is responding.",Drainage
"Anti-larval spray not done in our ward malaria spreading fast along College Road, please take action immediately.",Public Health
"Water supply timing is very irregular please give water on fixed schedule along Inner Circular Road, please take action immediately.",Water
Urgent! Major emergency: overflowing garbage pile blocking access to government school main gate at Subhash Nagar Crossing! It is students forced to step over rotten food waste to enter. Immediate action requested.,Sanitation
"Due to outdoor open gym equipment in public park completely rusted and jammed at the entry of Rajaji Sector 3, it is bearings seized and metal frame loose at concrete foundation.",Municipal Services
"At ward 195, someone burning plastic garbage in night time suffocating smoke. Kindly resolve.",Sanitation
"Garbage truck leaking dirty black liquid on entire road smelling awful outside Civil Court, please take action immediately.",Sanitation
"Sir, no dustbin provided in our market area people throwing waste on street behind Railway Staff Colony. Nobody is responding.",Sanitation
"Terrible smell from open drain and stagnant water causing vomiting since morning along 4th Cross, 2nd Main. High danger.",Public Health
Attention Municipal Commissioner: culvert under link road collapsed and choked with construction debris near Kuvempu Nagar main gate! It is stormwater unable to pass and creating vast upstream lake. Immediate action requested.,Drainage
Turbid brown water discharging from domestic connections across our block,Water
"Open slaughter of animals in street blood running on road very unhygienic right in front of Ration Shop, please take action immediately.",Public Health
Entire stretch is totally unmotorable please do tarring work close to police station from last 3 days.,Roads
Yellow blinker light not working at accident prone cross road since past 10 days right in front of Railway Staff Colony. High danger.,Traffic
Citizens facing acute problem because there is a construction debris and concrete rubble illegally dumped along the road curb behind Govt Primary School. This is narrowing carriageway and creating hazardous road dust. Kindly take remedial action.,Sanitation
"Please help, sluggish sewer flow causing toxic methane and hydrogen sulfide gas buildup right in front of Civil Court, foul sewer gas emanating through residential bathroom sinks. Please send team as soon as possible.",Drainage
Complaint regarding there is a massive pothole filled with stagnant rainwater between Adarsh Layout and Shivaji Circle. This is causing two-wheelers to slip and fall. Kindly take remedial action.,Roads
to mny mosquitos dangue spreding plz du fogin ward 57 since 2 days kindly fix,Public Health
"Kindly fix this problem, manhole cover displaced by floodwater left open in middle of flooded lane on Link Road, Ward 156, submerged open hole completely invisible to drivers. Please send team as soon as possible.",Drainage
"In Balaji Layout Ward 7, gutters are fully blocked with mud road is flooded with knee deep water since morning. Very difficult situation.",Drainage
sewer lin blokd toilts runing bckward kindly clen ward 75 since 2 days kindly fix,Drainage
"Sir, big dry tree branch can fall on our house roof please cut it urgently near Netaji Nagar main gate. Nobody is responding.",Municipal Services
urgent watertanker did not cm today peopl strugling for watr Defence Enclave near bus terminus,Water
Open drain in front of our gate school children can fall inside every evening between Bhavani Nagar and Gandhi Circle. High danger.,Drainage
"Stagnant rainwater collected in discarded scrap tires outside repair shop behind District Veterinary Hospital, proven high-density breeding site for Aedes dengue mosquitoes.",Public Health
Public library roof is leaking rainwater books getting ruined please repair at Ward 110 since two weeks.,Municipal Services
Open meat stall dumping entrails and bones on public sidewalk at Ashok Pillar Crossing.,Sanitation
People throwing garbage bags on vacant plot creating mini dumpyard outside Govt Girls Hostel for past one week.,Sanitation
"In Indira Gandhi Colony Ward 66, shock is coming from street light pole when touching it very scary every evening. Very difficult situation.",Electricity
Plz repair this road immediately bike riders falling daily at Subhash Nagar Crossing for past one week.,Roads
